OWNER,TABLE_NAME,COLUMN_NAME,DATA_TYPE,NULLABLE
SAMPLE,WAREHOUSES,WAREHOUSE_ID,VARCHAR2,N
SAMPLE,WAREHOUSES,WAREHOUSE_NAME,VARCHAR2,N
SAMPLE,WAREHOUSES,LOCATION,VARCHAR2,Y
SAMPLE,WAREHOUSES,DEL_YN,CHAR,N
SAMPLE,INVENTORIES,INVENTORY_ID,VARCHAR2,N
SAMPLE,INVENTORIES,PRODUCT_ID,VARCHAR2,N
SAMPLE,INVENTORIES,CURRENT_STOCK,NUMBER,N
SAMPLE,INVENTORIES,UPDATED_DATE,DATE,N
SAMPLE,PRODUCT_REVIEWS,REVIEW_ID,VARCHAR2,N
SAMPLE,PRODUCT_REVIEWS,PRODUCT_ID,VARCHAR2,N
SAMPLE,PRODUCT_REVIEWS,CUSTOMER_ID,VARCHAR2,N
SAMPLE,PRODUCT_REVIEWS,RATING,NUMBER,N
SAMPLE,PRODUCT_REVIEWS,REVIEW_TEXT,CLOB,Y
SAMPLE,PRODUCT_REVIEWS,CREATED_DATE,DATE,N
SAMPLE,PRODUCT_REVIEWS,DEL_YN,CHAR,N
SAMPLE,DISCOUNTS,DISCOUNT_ID,VARCHAR2,N
SAMPLE,DISCOUNTS,PRODUCT_ID,VARCHAR2,N
SAMPLE,DISCOUNTS,DISCOUNT_RATE,NUMBER,N
SAMPLE,DISCOUNTS,START_DATE,DATE,N
SAMPLE,DISCOUNTS,END_DATE,DATE,N
SAMPLE,DISCOUNTS,ACTIVE_YN,CHAR,N
PUBLIC,USER_ROLE,USER_ID,NUMBER,N
PUBLIC,USER_ROLE,ROLE_ID,NUMBER,N
PUBLIC,ORDERS,ORDER_ID,NUMBER,N
PUBLIC,ORDERS,USER_ID,NUMBER,N
PUBLIC,PRODUCT,PRODUCT_ID,NUMBER,N
PUBLIC,PRODUCT,PRODUCT_NAME,VARCHAR2,N
PUBLIC,CUSTOMER,CUSTOMER_ID,NUMBER,N
PUBLIC,CUSTOMER,CUSTOMER_NAME,VARCHAR2,N
SCOTT,DYNAMIC_DATA,ID,NUMBER,N
SCOTT,DYNAMIC_DATA,NAME,VARCHAR2,N
SCOTT,DYNAMIC_DATA,STATUS,VARCHAR2,Y
SCOTT,RELATED_DATA,ID,NUMBER,N
SCOTT,RELATED_DATA,RELATED_ID,NUMBER,N
SCOTT,RELATED_DATA,VALUE,VARCHAR2,Y
